repo,message,date,author
public-apis/public-apis,Update README.md,2026-03-18T16:28:22Z,APILayer
public-apis/public-apis,Update README.md,2026-02-19T15:14:35Z,APILayer
public-apis/public-apis,Update README.md,2025-11-04T18:29:01Z,APILayer
public-apis/public-apis,Update README.md,2025-05-20T15:56:33Z,APILayer
public-apis/public-apis,Update README.md,2024-10-31T19:50:01Z,APILayer
public-apis/public-apis,Update README.md,2024-09-25T13:37:56Z,APILayer
public-apis/public-apis,Update README.md,2024-08-02T13:59:32Z,APILayer
public-apis/public-apis,Update README.md,2024-07-09T14:27:51Z,APILayer
public-apis/public-apis,"Merge pull request #3805 from stcalica/postman-redesign

added postman logos, removed deadlinks, created popular APIs and Cate…",2024-04-29T11:29:06Z,APILayer
public-apis/public-apis,"added postman logos, removed deadlinks, created popular APIs and Categories section, new copy",2024-03-14T00:30:37Z,Kyle Calica
public-apis/public-apis,"Update README.md

added new api",2023-09-20T13:07:26Z,APILayer
public-apis/public-apis,"Update README.md

added new api",2023-09-20T12:54:45Z,APILayer
public-apis/public-apis,Update README.md,2022-07-19T13:39:16Z,APILayer
public-apis/public-apis,Update README.md,2022-05-18T13:48:17Z,APILayer
public-apis/public-apis,Update README.md,2022-03-16T08:41:44Z,APILayer
public-apis/public-apis,Add files via upload,2022-03-16T08:35:59Z,APILayer
public-apis/public-apis,Update README.md,2022-03-16T08:32:07Z,APILayer
public-apis/public-apis,"Remove MFaaS, it's broken

MFaaS returns http code 404 when accessed",2022-03-16T06:02:36Z,Matheus Felipe
public-apis/public-apis,"Remove Kawal Corona, it's broken",2022-03-16T05:56:08Z,Matheus Felipe
public-apis/public-apis,"Remove Affirmations, it's broken",2022-03-16T05:53:10Z,Matheus Felipe
public-apis/public-apis,"Add Free Url Shortener to URL Shorteners (#3097)

resolve #3097",2022-03-16T04:48:44Z,Matheus Felipe
public-apis/public-apis,Add PRC Exam Schedule to Government (#3102),2022-03-16T04:29:32Z,Zaldy Pagaduan Jr
public-apis/public-apis,Add Hirak OCR to Text Analysis (#3100),2022-03-16T04:16:11Z,FayeNichols
public-apis/public-apis,"Add ""Hirak IP to Country"" to Geocoding (#3098)",2022-03-16T03:59:38Z,FayeNichols
public-apis/public-apis,"Remove WeatherReactApi, it's broken

WeatherReactApi returns http code 404 when accessed",2022-03-13T02:13:26Z,Matheus Felipe
public-apis/public-apis,"Remove Utelly, it's broken

Utelly returns http code 404 when accessed",2022-03-13T02:11:08Z,Matheus Felipe
public-apis/public-apis,"Remove Sentium, it's broken

Sentium returns http code 503 when accessed",2022-03-13T02:08:16Z,Matheus Felipe
public-apis/public-apis,"Remove Tennis-data, it's broken

Tennis-data returns http code 404 when accessed",2022-03-13T02:07:04Z,Matheus Felipe
public-apis/public-apis,"Remove Daraz Data, it's broken

Daraz Data returns http code 404 when accessed",2022-03-13T02:06:06Z,Matheus Felipe
public-apis/public-apis,"Remove Reconmap, it's broken",2022-03-13T02:04:58Z,Matheus Felipe
public-apis/public-apis,"Remove Quadratic Solver, it's broken

Quadratic Solver  returns http code 404 when accessed",2022-03-13T02:02:19Z,Matheus Felipe
public-apis/public-apis,"Remove UK government API catalogue, it's broken

UK government API catalogue returns http code 404 when accessed",2022-03-13T02:00:14Z,Matheus Felipe
public-apis/public-apis,"Remove ""Open Government, Ukraine"", it's broken",2022-03-13T01:57:16Z,Matheus Felipe
public-apis/public-apis,"Remove ""Open Government, Russia"", it's broken",2022-03-13T01:55:56Z,Matheus Felipe
public-apis/public-apis,"Remove ""City, Warsaw Open Data"", it's broken",2022-03-13T01:54:10Z,Matheus Felipe
public-apis/public-apis,"Remove ""City, Kyiv"", it's broken

City, Kyiv returns http code 522 when accessed",2022-03-13T01:51:42Z,Matheus Felipe
public-apis/public-apis,"Remove Brazil CNPJ, it's broken",2022-03-13T01:49:11Z,Matheus Felipe
public-apis/public-apis,"Remove IP Sidekick, it's broken",2022-03-13T01:47:07Z,Matheus Felipe
public-apis/public-apis,"Remove Live precious metal prices, it's broken

Live precious metal prices returns http code 500 when accessed",2022-03-13T01:45:28Z,Matheus Felipe
public-apis/public-apis,"Remove Form2Channel, it's broken",2022-03-13T01:41:13Z,Matheus Felipe
public-apis/public-apis,"Remove UnixTime Converter, it's broken

UnixTime Converter returns http code 522 when accessed",2022-03-13T01:35:17Z,Matheus Felipe
public-apis/public-apis,Add Threat Jammer to Security (#3094),2022-03-13T01:18:48Z,Diego Parrilla
public-apis/public-apis,Add Owen Wilson Wow to Video (#3092),2022-03-13T00:55:27Z,Matheus Felipe
public-apis/public-apis,Add MFaaS to Video (#3091),2022-03-13T00:42:41Z,Arne
public-apis/public-apis,Add WhatJobs to Jobs (#3090),2022-03-13T00:21:14Z,S.G. Sudhakar
public-apis/public-apis,Update waifu.im: CORS from No to Yes (#3093),2022-03-12T04:50:07Z,Buco
public-apis/public-apis,Add Warface to Games & Comics (#3087),2022-03-12T04:26:55Z,Matheus Felipe
public-apis/public-apis,"Revert ""Update README.md""

This reverts commit 18f105a843492833b12f3685e666926e323fea78.",2022-03-11T15:52:41Z,Yann Bertrand
public-apis/public-apis,"Revert ""Update README.md""

This reverts commit 96e9033d4252739e96cbea94965c516973b3f768.",2022-03-11T15:52:36Z,Yann Bertrand
public-apis/public-apis,"Revert ""Update README.md""

This reverts commit 8e5806cc9037cc58cce2b7c8ed207f521fdda73a.",2022-03-11T15:52:30Z,Yann Bertrand
EbookFoundation/free-programming-books,remove workflow_run conclusion check (#13190),2026-03-31T21:13:23Z,Leithen
EbookFoundation/free-programming-books,"Fix comment on PR workflow (#13188)

* remove specific node version so default is 24

* change success to completed in comment pr workflow",2026-03-31T20:53:45Z,Leithen
EbookFoundation/free-programming-books,Fix LinkedIn share link in README.md (#13185),2026-03-31T14:08:59Z,23f2002020
EbookFoundation/free-programming-books,"Add Bootstrap 5 and IIT Madras Python cheat sheets (#13151)

* Add Bootstrap 5 and IIT Madras Python cheat sheets

* [Python Cheat Sheet for Quick Reference](https://docs.google.com/document/u/1/d/e/2PACX-1vTkdWzlMnt4qnZBelQGfd1K9RGGotM9bHabcqnoOq_VXWVlzhKSekh3Uu6SZIATPtJ-yr9qleASYhHO/pub) - IIT Madras (HTML)

* [Bootstrap 5 CSS Cheat Sheet](https://bootstrap-cheatsheet.themeselection.com/) - Theme Selection (HTML)

* fixed lint error trailing '/' slash

* Remove invalid google doc entry

Removed a invalid entry for the Python Cheat Sheet for Quick Reference. Kept bootstrap cheatsheet",2026-03-30T17:37:35Z,Yashvi Upadhyay
EbookFoundation/free-programming-books,Fix typo: '3nd' → '3rd' in Automate the Boring Stuff entry (#13183),2026-03-30T17:36:19Z,Samrat Pushpendra
EbookFoundation/free-programming-books,"books: add Pro Git (ar) (#13176)

* books: add Pro Git (ar)

Add Arabic translation of Pro Git by Scott Chacon and Ben Straub.
Available at: https://git-scm.com/book/ar/v2

* fix: add (HTML) format tag to Pro Git entry

fpb-lint requires format tags for web-hosted books.
Adding (HTML) to the Pro Git Arabic entry.

* fix: remove duplicate content, keep clean single copy + Git section

* fix-duplicates

* Update Pro Git link to GitHub repository",2026-03-30T17:34:57Z,Hamdi Ben Jarrar
EbookFoundation/free-programming-books,Add High Assurance Rust to Rust section (#13173),2026-03-30T17:24:48Z,inoovador
EbookFoundation/free-programming-books,Update free-programming-books-langs.md (#13167),2026-03-30T17:18:08Z,Koushik
EbookFoundation/free-programming-books,"Remove LaTeX Tutorial link (#13152)

Removed LaTeX Tutorial link from the list.",2026-03-30T17:00:26Z,Shadow-x
EbookFoundation/free-programming-books,"Ta update and add links (#13119)

* removed broken links (#13116)

* added c++ book(#13116)

* added java book(#13116)

* added ruby book(#13116)

* added C++ book(#13116)

* verified author names(#13116)

* resolved c++ index

* renamed c++ book name

* fix c++ anchor

* fix fpb-lint and anchor

* removed c++ website

* Update books/free-programming-books-ta.md

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>

* Fix link for 'எளிய தமிழில் JAVA' resource

* Fix link formatting for JAVA resource

* removed Java

---------

Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>",2026-03-30T16:57:59Z,Shadow-x
EbookFoundation/free-programming-books,Update free-programming-books-langs.md (#13139),2026-03-24T15:26:23Z,23f2000649-a11y
EbookFoundation/free-programming-books,"Add official Python tutorial in Spanish to free-programming-books-es.md (#13149)

Add the official Python documentation tutorial (docs.python.org/es/3/tutorial/)
to the Spanish Python section. This is the official tutorial maintained by
the Python Software Foundation and translated by the python-docs-es community.

Co-authored-by: Claude Opus 4.6 (1M context) <noreply@anthropic.com>",2026-03-24T15:24:07Z,inoovador
EbookFoundation/free-programming-books,Remove broken link for ProgrammeringMedDelphi (Delphi) (#13140),2026-03-24T15:13:52Z,Krishna Subramanian S
EbookFoundation/free-programming-books,"Add ""Lift the Elephant"" to PostgreSQL (#13135)",2026-03-24T15:07:50Z,Alex Yarotsky
EbookFoundation/free-programming-books,"books: add Probabilistic Machine Learning Advanced Topics (#13128)

* books: add Probabilistic Machine Learning Advanced Topics

* Update books/free-programming-books-subjects.md

Co-authored-by: Eric Hellman <eric@hellman.net>

---------

Co-authored-by: Eric Hellman <eric@hellman.net>",2026-03-20T13:16:09Z,23f3001101
EbookFoundation/free-programming-books,"Add ""SecOps Bit by Bit"" to Security & Privacy (#13130)",2026-03-20T13:13:46Z,Alex Yarotsky
EbookFoundation/free-programming-books,Fix broken link: ASP.NET MVC Music Store (CodePlex shutdown) (#13129),2026-03-19T01:22:48Z,poojal-iit
EbookFoundation/free-programming-books,"Fix capitalization of Python section heading (#13127)

Corrected capitalization of the Python section heading to match other language headings.",2026-03-19T01:09:47Z,23f2003821
EbookFoundation/free-programming-books,"Remove C Programming section and update HTML links (#13117)

* Remove C Programming section and update HTML links

Removed references to the C Programming Language and updated HTML book links.

* Remove C Programming Language entry from index",2026-03-12T00:48:42Z,Mazin Sharaf
EbookFoundation/free-programming-books,"Add AI/ML/DL free books to Chinese list (#13098)

Add 6 high-quality free Chinese resources to the 人工智能 (Artificial Intelligence) section:
- 大规模语言模型：从理论到实践 (Large Language Models: Theory to Practice)
- 动手学强化学习 (Hands-on Reinforcement Learning)
- 动手学深度学习 (Dive into Deep Learning, Chinese edition)
- 南瓜书PumpkinBook (PumpkinBook - ML formula derivations)
- 深度学习500问 (Deep Learning 500 Questions)
- 神经网络与深度学习 (Neural Networks and Deep Learning)

All links verified and resources are freely accessible.

Co-authored-by: ItOnlyWorksOnMyGPU <ItOnlyWorksOnMyGPU@proton.me>",2026-03-09T13:54:31Z,ItWorksOnlyOnMyGPU
EbookFoundation/free-programming-books,Fix formatting for APL2 at a Glance entry (#13120),2026-03-09T13:54:07Z,subhanarayan28
EbookFoundation/free-programming-books,"Fix outdated http links (#13122)

Replaced http with https for course links",2026-03-09T13:52:50Z,Suriya-rssn
EbookFoundation/free-programming-books,"chore(deps): bump actions/upload-artifact from 5 to 7 (#13099)

Bumps [actions/upload-artifact](https://github.com/actions/upload-artifact) from 5 to 7.
- [Release notes](https://github.com/actions/upload-artifact/releases)
- [Commits](https://github.com/actions/upload-artifact/compare/v5...v7)

---
updated-dependencies:
- dependency-name: actions/upload-artifact
  dependency-version: '7'
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",2026-03-06T17:40:01Z,dependabot[bot]
EbookFoundation/free-programming-books,"chore(deps): bump actions/download-artifact from 6 to 8 (#13100)

Bumps [actions/download-artifact](https://github.com/actions/download-artifact) from 6 to 8.
- [Release notes](https://github.com/actions/download-artifact/releases)
- [Commits](https://github.com/actions/download-artifact/compare/v6...v8)

---
updated-dependencies:
- dependency-name: actions/download-artifact
  dependency-version: '8'
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",2026-03-06T17:39:38Z,dependabot[bot]
EbookFoundation/free-programming-books,"Update free-programming-books-ru.md (#13109)

Changed two links. One - a newer translation, second - old link is broken, changed on working link",2026-03-06T12:43:51Z,IgorLutiy
EbookFoundation/free-programming-books,"docs: add missing question mark in HOWTO.md (#13105)

Co-authored-by: rohan436 <rohan.santhoshkumar@googlemail.com>",2026-03-06T12:35:31Z,Rohan Santhosh
EbookFoundation/free-programming-books,"Update free-courses-ru.md (#13104)

Removed the course because it’s no longer free",2026-03-06T12:34:14Z,IgorLutiy
EbookFoundation/free-programming-books,"Fix broken link for Learn Python With Jupyter (Fixes #13083) (#13096)

* Fix broken link for Learn Python With Jupyter (Fixes #13083)

* Remove trailing slash from Learn Python With Jupyter link

* Apply maintainer formatting suggestion

Co-authored-by: Eric Hellman <eric@hellman.net>

---------

Co-authored-by: Shilpa G <Shilpaghilapg813@gmail.com>
Co-authored-by: Eric Hellman <eric@hellman.net>",2026-02-26T17:01:58Z,ShilpaG
EbookFoundation/free-programming-books,Add FastAPI do Zero to Python section (pt_BR) (#13095),2026-02-23T02:57:54Z,Carlos Jr
EbookFoundation/free-programming-books,Added Front-end Debugging Tools Handbook in the free-programming-books-subjects.md Misc section (#13090),2026-02-18T19:19:46Z,Lala Hakobyan
EbookFoundation/free-programming-books,"Add 'Linguagem de Programação C# Avançado' to pt_BR list (#13089)

Add 'Linguagem de Programação C# Avançado - Fundação Bradesco' book (free PDF with video lessons) to pt_BR list",2026-02-16T16:01:48Z,Breno Augusto
EbookFoundation/free-programming-books,"Unable to access  -  A Primer on Design Patterns  (#13082)

* Removed 403 Forbidden - Object-Oriented Programming in JavaTM Textbook

* Book added: Linux Essentials - Linux Professional Institute

* three LPI books added

* version number removed from LPI books

* Operating Systems and Middleware - Max Hailperin removed due to 404 access denied

* removed broken link",2026-02-09T13:15:22Z,gsiri007
EbookFoundation/free-programming-books,Remove rubyfu because it is a casino website now (#13081),2026-02-09T04:09:12Z,İsmail Arılık
EbookFoundation/free-programming-books,"Add new algorithm course link to Turkish resources (#13077)

* Add new algorithm course link to Turkish resources

* Fix duplicate entry for 'Algoritmalar ve Veri Yapıları'",2026-02-01T18:50:23Z,mümin
EbookFoundation/free-programming-books,"Add ""The Math Behind Artificial Intelligence"" to Artificial Intelligence section (#13072)

* Add 'The Math Behind Artificial Intelligence' book

* Fix author formatting for AI book entry

* Fix order of 'The Math Behind Artificial Intelligence' entry

* Update free-programming-books-subjects.md",2026-01-30T22:38:17Z,Tiago monteiro
EbookFoundation/free-programming-books,"Correct capitalization of 'Meteor' in programming languages list (#13070)

Fixes a minor capitalization inconsistency while following contribution guidelines.",2026-01-26T17:20:10Z,Harini G
EbookFoundation/free-programming-books,"Restoring a SQL resource (#13067)

* Add Architecture of Advanced Numerical Analysis Systems book from Springer, by Wang & Zhao

* Add a PDF URL to a recently removed HTML version of a book

* Mark book as a draft version as it is labeled as such

* Add ColdFusion Fiddle CFML playground

* Fix URL trailing slash

* This resource still exists

* Remove resource that no longer exists

* Add Licence to resource

* Amend author separation format

* Explicitly specify base URL, otherwise link doesn't work",2026-01-26T17:18:25Z,cchaduka
EbookFoundation/free-programming-books,"Update free-podcasts-screencasts-sv.md (#13068)

Two outdated resources have been removed.",2026-01-24T21:05:54Z,Ivan Oranciuc
EbookFoundation/free-programming-books,"ML courses added in hindi language (#13059)

* ml courses added hindi

* fixed a-z order

* Update courses/free-courses-hi.md

Co-authored-by: Eric Hellman <eric@hellman.net>

* Remove duplicate machine learning tutorial entry

Removed duplicate entry for 'Machine Learning Tutorial using Python in Hindi 2022'.

---------

Co-authored-by: Eric Hellman <eric@hellman.net>",2026-01-05T13:41:57Z,Ayush Raj
EbookFoundation/free-programming-books,Remove broken Essential SQL link (#13060),2026-01-04T23:28:24Z,Vishal Goyal
EbookFoundation/free-programming-books,"Add free courses for Vim and Visual Studio Code under IDEs & Editors (#12442)

* added vim essential course

* added ide resources

* sort a-z

* sort a-z

* spacing

* swapping

* spacing

* fixed link added one with playlist",2026-01-03T22:04:14Z,Ayush Raj
EbookFoundation/free-programming-books,"Add a CFML playground (#13053)

* Add Architecture of Advanced Numerical Analysis Systems book from Springer, by Wang & Zhao

* Add a PDF URL to a recently removed HTML version of a book

* Mark book as a draft version as it is labeled as such

* Add ColdFusion Fiddle CFML playground

* Fix URL trailing slash",2026-01-01T14:24:19Z,cchaduka
EbookFoundation/free-programming-books,fix: update broken PDF link and correct R section formatting (#13048),2025-12-16T14:12:26Z,Ayush Gupta
EbookFoundation/free-programming-books,Update Distributed Systems edition from 3rd to 4th (#13043),2025-12-10T15:36:23Z,Double Tilde
EbookFoundation/free-programming-books,"Add Fast.ai free course to Machine Learning section Add new resource (#13039)

* Add OSTEP to Operating Systems section

* Remove duplicate OSTEP entry

* Add Fast.ai free course to Machine Learning section

* Fix linter: remove trailing slash & adjust blank lines

* Fix blank lines between sections for linter

* Fix linter: remove extra blank lines in ML section

* Fix Machine Learning section formatting for linter

* Fix blank lines after Machine Learning section

* Fix blank lines after Machine Learning section

* Fix blank lines after Machine Learning section

* Fix blank lines after Machine Learning section

* Fix blank lines after Machine Learning section

* Fix blank lines after Machine Learning section

* Fix formatting: Add source and language for Fast.ai course

* Fix formatting: Add source and language for Fast.ai course

* Fix formatting: Add source and language for Fast.ai course

* Remove duplicate OSTEP entry and apply reviewer suggestion",2025-12-07T13:08:39Z,Anshul
EbookFoundation/free-programming-books,"docs(books): Remove unavailable Turkish Rust book link (issue #13028) (#13030)

* docs(books): Remove unavailable Turkish Rust book link (issue #13028)

Removed a PDF link for 'Rust'a Giriş' from the Rust section.

* Fix linter error: remove invalid empty link placeholder

* fix: add blank line between sections to fix linter error",2025-11-28T14:23:46Z,A. LAKSHMI PRASANNA
EbookFoundation/free-programming-books,"Update free-programming-books-fa_IR.md - thinkpython book added (#13025)

* Update free-programming-books-fa_IR.md - thinkpython book added

* Update free-programming-books-fa_IR.md",2025-11-25T15:37:27Z,Qarebaq (BlackGarden)
EbookFoundation/free-programming-books,add issue write permission to stale workflow (#13022),2025-11-21T13:59:51Z,Leithen
EbookFoundation/free-programming-books,"404 access denied - Operating Systems and Middleware by Max Hailperin (#13021)

* Removed 403 Forbidden - Object-Oriented Programming in JavaTM Textbook

* Book added: Linux Essentials - Linux Professional Institute

* three LPI books added

* version number removed from LPI books

* Operating Systems and Middleware - Max Hailperin removed due to 404 access denied",2025-11-21T13:59:25Z,gsiri007
EbookFoundation/free-programming-books,"Add 2 Vietnamese Go courses by Code With Tuan (#13018)

* Add 2 Vietnamese Go courses by Code With Tuan

* Fix Alphabetical ordering

* Fix Course Title",2025-11-20T17:27:16Z,tontnm
donnemartin/system-design-primer,Fix link for UDP vs TCP (#1153),2026-03-20T01:52:18Z,savasva
donnemartin/system-design-primer,Fix broken link to PayPal Developer Blog (#1189),2026-03-15T20:35:35Z,Rory James
donnemartin/system-design-primer,Update link for understanding latency vs throughput (#1163),2026-03-12T01:13:46Z,wilburhsu
