repo,sha,commit_message,filename,code,changes,is_bug,cleaned_code,num_lines,num_functions,num_loops,num_conditions,num_exceptions,code_length
psf/requests,b294b08fe3b08df9f646f64d1250f96193dab066,Consider urllib3 version has 3 numbers at most (#7375) (#7376),src/requests/__init__.py,"@@ -56,7 +56,7 @@
 
 
 def check_compatibility(urllib3_version, chardet_version, charset_normalizer_version):
-    urllib3_version = urllib3_version.split(""."")
+    urllib3_version = urllib3_version.split(""."")[:3]
     assert urllib3_version != [""dev""]  # Verify urllib3 isn't installed from git.
 
     # Sometimes, urllib3 only reports its version as 16.1.",2,0,"@@ -56,7 +56,7 @@ def check_compatibility(urllib3_version, chardet_version, charset_normalizer_version): urllib3_version = urllib3_version.split(""."") urllib3_version = urllib3_version.split(""."")[:3] assert urllib3_version != [""dev""]",1,1,0,0,0,232
psf/requests,5f3ff9b9e4d3d44960467e7877e06e9efa22f20b,Fix typos discovered by codespell (#7371),tests/test_requests.py,"@@ -737,7 +737,7 @@ def test_basicauth_with_netrc_leak(self, httpbin):
 
         try:
             # Should use netrc
-            # Make sure that we don't use the example.com credentails
+            # Make sure that we don't use the example.com credentials
             # for the request
             r = requests.get(url)
             assert r.status_code == 200",2,1,"@@ -737,7 +737,7 @@ def test_basicauth_with_netrc_leak(self, httpbin): try: r = requests.get(url) assert r.status_code == 200",1,1,0,0,1,125
psf/requests,d2f6bdecc835475c3cfbb83565ea879d7b2712ca,"Clarify decode_unicode behaviour in iter_{content,lines} docstrings (#7365)",src/requests/models.py,"@@ -811,8 +811,10 @@ def iter_content(self, chunk_size=1, decode_unicode=False):
         chunks are received. If stream=False, data is returned as
         a single chunk.
 
-        If decode_unicode is True, content will be decoded using the best
-        available encoding based on the response.
+        If decode_unicode is True, content will be decoded using encoding
+        information from the response. If no encoding information is available,
+        bytes will be returned. This can be bypassed by manually setting
+        `encoding` on the response.
         """"""
 
         def generate():
@@ -863,6 +865,9 @@ def iter_lines(
         stream=True is set on the request, this avoids reading the
         content at once into memory for large responses.
 
+        The decode_unicode param works the same as in `iter_content`, with the
+        same caveats.
+
         .. note:: This method is not reentrant safe.
         """"""
 ",9,0,"@@ -811,8 +811,10 @@ def iter_content(self, chunk_size=1, decode_unicode=False): chunks are received. If stream=False, data is returned as a single chunk. If decode_unicode is True, content will be decoded using the best available encoding based on the response. If decode_unicode is True, content will be decoded using encoding information from the response. If no encoding information is available, bytes will be returned. This can be bypassed by manually setting `encoding` on the response.",1,1,0,0,0,493
psf/requests,a044b020dea43230585126901684a0f30ec635a8,Move DigestAuth hash algorithms to use usedforsecurity=False (#7310),src/requests/auth.py,"@@ -145,31 +145,31 @@ def build_digest_header(self, method, url):
             def md5_utf8(x):
                 if isinstance(x, str):
                     x = x.encode(""utf-8"")
-                return hashlib.md5(x).hexdigest()
+                return hashlib.md5(x, usedforsecurity=False).hexdigest()
 
             hash_utf8 = md5_utf8
         elif _algorithm == ""SHA"":
 
             def sha_utf8(x):
                 if isinstance(x, str):
                     x = x.encode(""utf-8"")
-                return hashlib.sha1(x).hexdigest()
+                return hashlib.sha1(x, usedforsecurity=False).hexdigest()
 
             hash_utf8 = sha_utf8
         elif _algorithm == ""SHA-256"":
 
             def sha256_utf8(x):
                 if isinstance(x, str):
                     x = x.encode(""utf-8"")
-                return hashlib.sha256(x).hexdigest()
+                return hashlib.sha256(x, usedforsecurity=False).hexdigest()
 
             hash_utf8 = sha256_utf8
         elif _algorithm == ""SHA-512"":
 
             def sha512_utf8(x):
                 if isinstance(x, str):
                     x = x.encode(""utf-8"")
-                return hashlib.sha512(x).hexdigest()
+                return hashlib.sha512(x, usedforsecurity=False).hexdigest()
 
             hash_utf8 = sha512_utf8
 
@@ -202,7 +202,7 @@ def sha512_utf8(x):
         s += time.ctime().encode(""utf-8"")
         s += os.urandom(8)
 
-        cnonce = hashlib.sha1(s).hexdigest()[:16]
+        cnonce = hashlib.sha1(s, usedforsecurity=False).hexdigest()[:16]
         if _algorithm == ""MD5-SESS"":
             HA1 = hash_utf8(f""{HA1}:{nonce}:{cnonce}"")
 ",10,0,"@@ -145,31 +145,31 @@ def build_digest_header(self, method, url): def md5_utf8(x): if isinstance(x, str): x = x.encode(""utf-8"") return hashlib.md5(x).hexdigest() return hashlib.md5(x, usedforsecurity=False).hexdigest() hash_utf8 = md5_utf8 elif _algorithm == ""SHA"": def sha_utf8(x): if isinstance(x, str): x = x.encode(""utf-8"") return hashlib.sha1(x).hexdigest() return hashlib.sha1(x, usedforsecurity=False).hexdigest() hash_utf8 = sha_utf8 elif _algorithm == ""SHA-256"": def sha256_utf8(x): if isinstance(x, str): x = x.encode(""utf-8"") return hashlib.sha256(x).hexdigest() return hashlib.sha256(x, usedforsecurity=False).hexdigest() hash_utf8 = sha256_utf8 elif _algorithm == ""SHA-512"": def sha512_utf8(x): if isinstance(x, str): x = x.encode(""utf-8"") return hashlib.sha512(x).hexdigest() return hashlib.sha512(x, usedforsecurity=False).hexdigest() hash_utf8 = sha512_utf8 @@ -202,7 +202,7 @@ def sha512_utf8(x): s += time.ctime().encode(""utf-8"") s += os.urandom(8) cnonce = hashlib.sha1(s).hexdigest()[:16] cnonce = hashlib.sha1(s, usedforsecurity=False).hexdigest()[:16] if _algorithm == ""MD5-SESS"": HA1 = hash_utf8(f""{HA1}:{nonce}:{cnonce}"")",1,6,0,8,0,1145
psf/requests,185f587a78e2d2df31ae8af8c95d97a012213df7,Cleanup docs and add i18n wrappers (#7354),docs/conf.py,"@@ -54,11 +54,11 @@
 # source_encoding = 'utf-8-sig'
 
 # The master toctree document.
-master_doc = ""index""
+root_doc = ""index""
 
 # General information about the project.
 project = u""Requests""
-copyright = u'MMXVIX. A Kenneth Reitz Project'
+copyright = u""Kenneth Reitz and contributors""
 author = u""Kenneth Reitz""
 
 # The version info for the project you're documenting, acts as replacement for
@@ -126,7 +126,7 @@
 # documentation.
 html_theme_options = {
     ""show_powered_by"": False,
-    ""github_user"": ""requests"",
+    ""github_user"": ""psf"",
     ""github_repo"": ""requests"",
     ""github_banner"": True,
     ""show_related"": False,
@@ -172,14 +172,13 @@
 
 # Custom sidebar templates, maps document names to template names.
 html_sidebars = {
-    ""index"": [""sidebarintro.html"", ""sourcelink.html"", ""searchbox.html"", ""hacks.html""],
+    ""index"": [""sidebar.html"", ""sourcelink.html"", ""searchbox.html""],
     ""**"": [
-        ""sidebarlogo.html"",
+        ""sidebar.html"",
         ""localtoc.html"",
         ""relations.html"",
         ""sourcelink.html"",
         ""searchbox.html"",
-        ""hacks.html"",
     ],
 }
 
@@ -247,7 +246,7 @@
 # (source start file, target name, title,
 #  author, documentclass [howto, manual, or own class]).
 latex_documents = [
-    (master_doc, ""Requests.tex"", u""Requests Documentation"", u""Kenneth Reitz"", ""manual"")
+    (root_doc, ""Requests.tex"", u""Requests Documentation"", u""Kenneth Reitz"", ""manual"")
 ]
 
 # The name of an image file (relative to this directory) to place at the top of
@@ -275,7 +274,7 @@
 
 # One entry per manual page. List of tuples
 # (source start file, name, description, authors, manual section).
-man_pages = [(master_doc, ""requests"", u""Requests Documentation"", [author], 1)]
+man_pages = [(root_doc, ""requests"", u""Requests Documentation"", [author], 1)]
 
 # If true, show URL addresses after external links.
 # man_show_urls = False
@@ -288,7 +287,7 @@
 #  dir menu entry, description, category)
 texinfo_documents = [
     (
-        master_doc,
+        root_doc,
         ""Requests"",
         u""Requests Documentation"",
         author,",17,0,"@@ -54,11 +54,11 @@ master_doc = ""index"" root_doc = ""index"" project = u""Requests"" copyright = u'MMXVIX. A Kenneth Reitz Project' copyright = u""Kenneth Reitz and contributors"" author = u""Kenneth Reitz"" @@ -126,7 +126,7 @@ html_theme_options = { ""show_powered_by"": False, ""github_user"": ""requests"", ""github_user"": ""psf"", ""github_repo"": ""requests"", ""github_banner"": True, ""show_related"": False, @@ -172,14 +172,13 @@ html_sidebars = { ""index"": [""sidebarintro.html"", ""sourcelink.html"", ""searchbox.html"", ""hacks.html""], ""index"": [""sidebar.html"", ""sourcelink.html"", ""searchbox.html""], ""**"": [ ""sidebarlogo.html"", ""sidebar.html"", ""localtoc.html"", ""relations.html"", ""sourcelink.html"", ""searchbox.html"", ""hacks.html"", ], } @@ -247,7 +246,7 @@ latex_documents = [ (master_doc, ""Requests.tex"", u""Requests Documentation"", u""Kenneth Reitz"", ""manual"") (root_doc, ""Requests.tex"", u""Requests Documentation"", u""Kenneth Reitz"", ""manual"") ] @@ -275,7 +274,7 @@ man_pages = [(master_doc, ""requests"", u""Requests Documentation"", [author], 1)] man_pages = [(root_doc, ""requests"", u""Requests Documentation"", [author], 1)] @@ -288,7 +287,7 @@ texinfo_documents = [ ( master_doc, root_doc, ""Requests"", u""Requests Documentation"", author,",1,0,0,0,0,1210
psf/requests,ef439eb779c1eba7cbdeeeb302b11e1e061b4b7d,Prevent Response self-reference in redirect history (#7328),src/requests/sessions.py,"@@ -179,9 +179,8 @@ def resolve_redirects(
             prepared_request = req.copy()
 
             # Update history and keep track of redirects.
-            # resp.history must ignore the original request in this loop
+            resp.history = hist[:]
             hist.append(resp)
-            resp.history = hist[1:]
 
             try:
                 resp.content  # Consume socket so it can be released",3,0,"@@ -179,9 +179,8 @@ def resolve_redirects( prepared_request = req.copy() resp.history = hist[:] hist.append(resp) resp.history = hist[1:] try: resp.content",1,1,0,0,1,155
psf/requests,ef439eb779c1eba7cbdeeeb302b11e1e061b4b7d,Prevent Response self-reference in redirect history (#7328),tests/test_requests.py,"@@ -217,6 +217,14 @@ def test_HTTP_302_ALLOW_REDIRECT_GET(self, httpbin):
         assert r.history[0].status_code == 302
         assert r.history[0].is_redirect
 
+    def test_redirect_history_no_self_reference(self, httpbin):
+        r = requests.get(httpbin(""redirect"", ""3""))
+        assert r.status_code == 200
+        assert len(r.history) == 3
+        for i, resp in enumerate(r.history):
+            assert resp not in resp.history
+            assert resp.history == r.history[:i]
+
     def test_HTTP_307_ALLOW_REDIRECT_POST(self, httpbin):
         r = requests.post(
             httpbin(""redirect-to""),",8,0,"@@ -217,6 +217,14 @@ def test_HTTP_302_ALLOW_REDIRECT_GET(self, httpbin): assert r.history[0].status_code == 302 assert r.history[0].is_redirect def test_redirect_history_no_self_reference(self, httpbin): r = requests.get(httpbin(""redirect"", ""3"")) assert r.status_code == 200 assert len(r.history) == 3 for i, resp in enumerate(r.history): assert resp not in resp.history assert resp.history == r.history[:i] def test_HTTP_307_ALLOW_REDIRECT_POST(self, httpbin): r = requests.post( httpbin(""redirect-to""),",1,3,1,0,0,505
psf/requests,111d2b77790bf49943c0dfa09b365371c24aec7e,v2.33.1,src/requests/__version__.py,"@@ -5,8 +5,8 @@
 __title__ = ""requests""
 __description__ = ""Python HTTP for Humans.""
 __url__ = ""https://requests.readthedocs.io""
-__version__ = ""2.33.0""
-__build__ = 0x023300
+__version__ = ""2.33.1""
+__build__ = 0x023301
 __author__ = ""Kenneth Reitz""
 __author_email__ = ""me@kennethreitz.org""
 __license__ = ""Apache-2.0""",4,0,"@@ -5,8 +5,8 @@ __title__ = ""requests"" __description__ = ""Python HTTP for Humans."" __url__ = ""https://requests.readthedocs.io"" __version__ = ""2.33.0"" __build__ = 0x023300 __version__ = ""2.33.1"" __build__ = 0x023301 __author__ = ""Kenneth Reitz"" __author_email__ = ""me@kennethreitz.org"" __license__ = ""Apache-2.0""",1,0,1,0,0,311
psf/requests,f0198e6dfc431a2293dc16e1b1e8fcddc910a7f3,Fix malformed value parsing for Content-Type (#7309),src/requests/utils.py,"@@ -502,26 +502,23 @@ def get_encodings_from_content(content):
 
 
 def _parse_content_type_header(header):
-    """"""Returns content type and parameters from given header
+    """"""Returns content type and parameters from given header.
 
     :param header: string
     :return: tuple containing content type and dictionary of
-         parameters
+         parameters.
     """"""
 
     tokens = header.split("";"")
     content_type, params = tokens[0].strip(), tokens[1:]
     params_dict = {}
-    items_to_strip = ""\""' ""
+    strip_chars = ""\""' ""
 
     for param in params:
         param = param.strip()
-        if param:
-            key, value = param, True
-            index_of_equals = param.find(""="")
-            if index_of_equals != -1:
-                key = param[:index_of_equals].strip(items_to_strip)
-                value = param[index_of_equals + 1 :].strip(items_to_strip)
+        if param and (idx := param.find(""="")) != -1:
+            key = param[:idx].strip(strip_chars)
+            value = param[idx + 1 :].strip(strip_chars)
             params_dict[key.lower()] = value
     return content_type, params_dict
 ",15,1,"@@ -502,26 +502,23 @@ def get_encodings_from_content(content): def _parse_content_type_header(header): Returns content type and parameters from given header. :param header: string :return: tuple containing content type and dictionary of parameters parameters. """""" tokens = header.split("";"") content_type, params = tokens[0].strip(), tokens[1:] params_dict = {} items_to_strip = ""\""' "" strip_chars = ""\""' "" for param in params: param = param.strip() if param: key, value = param, True index_of_equals = param.find(""="") if index_of_equals != -1: key = param[:index_of_equals].strip(items_to_strip) value = param[index_of_equals + 1 :].strip(items_to_strip) if param and (idx := param.find(""="")) != -1: key = param[:idx].strip(strip_chars) value = param[idx + 1 :].strip(strip_chars) params_dict[key.lower()] = value return content_type, params_dict",1,2,1,3,0,846
psf/requests,f0198e6dfc431a2293dc16e1b1e8fcddc910a7f3,Fix malformed value parsing for Content-Type (#7309),tests/test_utils.py,"@@ -596,7 +596,6 @@ def test_parse_dict_header(value, expected):
                 {
                     ""boundary"": ""something"",
                     ""boundary2"": ""something_else"",
-                    ""no_equals"": True,
                 },
             ),
         ),
@@ -607,7 +606,6 @@ def test_parse_dict_header(value, expected):
                 {
                     ""boundary"": ""something"",
                     ""boundary2"": ""something_else"",
-                    ""no_equals"": True,
                 },
             ),
         ),
@@ -618,7 +616,6 @@ def test_parse_dict_header(value, expected):
                 {
                     ""boundary"": ""something"",
                     ""boundary2"": ""something_else"",
-                    ""no_equals"": True,
                 },
             ),
         ),
@@ -629,7 +626,6 @@ def test_parse_dict_header(value, expected):
                 {
                     ""boundary"": ""something"",
                     ""boundary2"": ""something_else"",
-                    ""no_equals"": True,
                 },
             ),
         ),
@@ -649,6 +645,10 @@ def test__parse_content_type_header(value, expected):
             ""utf-8"",
         ),
         (CaseInsensitiveDict({""content-type"": ""text/plain""}), ""ISO-8859-1""),
+        (
+            CaseInsensitiveDict({""content-type"": ""text/html; charset""}),
+            ""ISO-8859-1"",
+        ),
     ),
 )
 def test_get_encoding_from_headers(value, expected):",8,1,"@@ -596,7 +596,6 @@ def test_parse_dict_header(value, expected): { ""boundary"": ""something"", ""boundary2"": ""something_else"", ""no_equals"": True, }, ), ), @@ -607,7 +606,6 @@ def test_parse_dict_header(value, expected): { ""boundary"": ""something"", ""boundary2"": ""something_else"", ""no_equals"": True, }, ), ), @@ -618,7 +616,6 @@ def test_parse_dict_header(value, expected): { ""boundary"": ""something"", ""boundary2"": ""something_else"", ""no_equals"": True, }, ), ), @@ -629,7 +626,6 @@ def test_parse_dict_header(value, expected): { ""boundary"": ""something"", ""boundary2"": ""something_else"", ""no_equals"": True, }, ), ), @@ -649,6 +645,10 @@ def test__parse_content_type_header(value, expected): ""utf-8"", ), (CaseInsensitiveDict({""content-type"": ""text/plain""}), ""ISO-8859-1""), ( CaseInsensitiveDict({""content-type"": ""text/html; charset""}), ""ISO-8859-1"", ), ), ) def test_get_encoding_from_headers(value, expected):",1,6,0,0,0,897
