name,stars,url
public-apis/public-apis,419858,https://github.com/public-apis/public-apis
EbookFoundation/free-programming-books,385128,https://github.com/EbookFoundation/free-programming-books
donnemartin/system-design-primer,341736,https://github.com/donnemartin/system-design-primer
vinta/awesome-python,291113,https://github.com/vinta/awesome-python
TheAlgorithms/Python,219352,https://github.com/TheAlgorithms/Python
Significant-Gravitas/AutoGPT,183206,https://github.com/Significant-Gravitas/AutoGPT
AUTOMATIC1111/stable-diffusion-webui,162167,https://github.com/AUTOMATIC1111/stable-diffusion-webui
huggingface/transformers,158950,https://github.com/huggingface/transformers
yt-dlp/yt-dlp,155282,https://github.com/yt-dlp/yt-dlp
521xueweihan/HelloGitHub,149262,https://github.com/521xueweihan/HelloGitHub
